Вопрос,Правильный,Неверный1,Неверный2,Неверный3,Картинка
Какая планета Солнечной системы находится ближе всего к Солнцу?,Меркурий,Венера,Земля,Марс,mercury.jpg
Как называется ближайшая к Земле звезда (не считая Солнца)?,Проксима Центавра,Сириус,Альфа Центавра A,Бетельгейзе,proxima_centauri.jpg
Сколько минут требуется солнечному свету, чтобы достичь Земли?,8 минут 20 секунд,1 минута,1 час,24 часа,sun_earth_light.jpg
Как называется галактика, в которой мы живем?,Млечный Путь,Туманность Андромеды,Треугольник,Большое Магелланово Облако,milky_way.jpg
Какая планета известна своими ярко выраженными кольцами?,Сатурн,Юпитер,Уран,Нептун,saturn_rings.jpg
Кто был первым человеком, ступившим на Луну?,Нил Армстронг,Юрий Гагарин,Базз Олдрин,Майкл Коллинз,neil_armstrong.jpg
Как называется явление, когда Луна полностью закрывает Солнце?,Солнечное затмение,Лунное затмение,Суперлуние,Кольцеобразное затмение,solar_eclipse.jpg
Какой объект считается карликовой планетой и раньше был девятой планетой?,Плутон,Эрида,Макемаке,Церера,pluto.jpg
Какая планета является самой большой в Солнечной системе?,Юпитер,Сатурн,Нептун,Уран,jupiter.jpg
Как называется ближайший к Земле крупный астероид (иногда видимый невооруженным глазом)?,Веста,Церера,Паллада,Юнона,vesta_asteroid.jpg
Как называется комета, которая возвращается к Солнцу каждые 75-76 лет?,Комета Галлея,Комета Хейла-Боппа,Комета Шумейкеров-Леви 9,Комета Энке,halley_comet.jpg
Какая вторая космическая скорость (скорость убегания) для Земли?,11.2 км/с,7.9 км/с,16.7 км/с,3.0 км/с,earth_escape_velocity.jpg
Как называется естественный спутник Земли?,Луна,Фобос,Деймос,Европа,moon.jpg
В каком году был запущен первый искусственный спутник Земли «Спутник-1»?,1957,1961,1945,1969,sputnik.jpg
Какое созвездие на небе легко узнать по «ковшу» из семи ярких звезд?,Большая Медведица,Малая Медведица,Кассиопея,Орион,big_dipper.jpg
Как называется самая яркая звезда на ночном небе (после Солнца)?,Сириус,Канопус,Арктур,Вега,sirius.jpg
Где находится Большое Красное Пятно?,На Юпитере,На Марсе,На Сатурне,На Солнце,great_red_spot.jpg
Кто был первой женщиной-космонавтом?,Валентина Терешкова,Светлана Савицкая,Салли Райд,Пегги Уитсон,valentina_tereshkova.jpg
Как называется ближайшая к нам крупная галактика (не Млечный Путь)?,Туманность Андромеды,Магелланово облако,Галактика Водоворот,Галактика Сомбреро,andromeda.jpg
Из какого состояния вещества состоит Солнце?,Плазма,Газ,Жидкость,Твердое тело,sun_plasma.jpg
Как называется траектория движения планеты вокруг звезды?,Орбита,Экватор,Ось,Афелий,orbit.jpg
Как называется падающая звезда (сгорающая в атмосфере)?,Метеор,Метеорит,Метеороид,Астероид,meteor.jpg
Какая планета вращается «лежа на боку» (ось наклонена на 98 градусов)?,Уран,Венера,Меркурий,Нептун,uranus.jpg
Что такое МКС?,Международная космическая станция,Модульная космическая система,Межпланетная космическая станция,Манёвренная космическая ступень,iss.jpg
Сколько планет в Солнечной системе (считая официальные)?,8,9,7,10,eight_planets.jpg
Какая планета известна как «Красная планета»?,Марс,Юпитер,Венера,Меркурий,mars_red.jpg
Какая планета вращается в обратном направлении (ретроградное вращение)?,Венера,Уран,Нептун,Земля,venus_rotation.jpg
Как называется пояс астероидов между Марсом и Юпитером?,Главный пояс астероидов,Пояс Койпера,Облако Оорта,Пояс Эджуорта,asteroid_belt.jpg
Кто первым предложил гелиоцентрическую модель мира?,Николай Коперник,Птолемей,Галилео Галилей,Иоганн Кеплер,copernicus.jpg
Как называется остаток взорвавшейся сверхновой в созвездии Тельца?,Крабовидная туманность,Туманность Ориона,Туманность Киля,Туманность Кольцо,crab_nebula.jpg
Какой космический аппарат впервые вышел за пределы Солнечной системы?,Вояджер-1,Вояджер-2,Пионер-10,Новые Горизонты,voyager1.jpg
Сколько звезд в созвездии Южного Креста (главных, образующих крест)?,4,5,3,6,southern_cross.jpg
Как называется процесс рождения звезды из газа и пыли?,Протозвезда,Сверхновая,Гелиевая вспышка,Конвекция,protostar.jpg
Какой газ преобладает на Юпитере и Сатурне?,Водород,Гелий,Метан,Углекислый газ,hydrogen.jpg
Как называется самая высокая гора в Солнечной системе (на Марсе)?,Олимп,Гора Эверест,Гора Шарпа,Пик Гюйгенса,olympus_mons.jpg
Что такое «пояс Койпера»?,Область ледяных тел за Нептуном,Пояс астероидов,Внешняя атмосфера Солнца,Кольца Сатурна,kuiper_belt.jpg
Как называется первая в мире ракета-носитель для полета человека в космос (СССР)?,Р-7 (Восток),Союз,Протон,Энергия,r7_rocket.jpg
Какова первая космическая скорость для Земли (круговая орбита)?,7.9 км/с,5 км/с,11.2 км/с,9.8 км/с,first_cosmic_speed.jpg
Что находится в центре нашей галактики?,Сверхмассивная черная дыра,Красный гигант,Шаровое скопление,Туманность,sagittarius_a.jpg
Как называется спутник Марса, название которого переводится как «Страх»?,Фобос,Деймос,Европа,Тритон,phobos.jpg
Какая звезда станет следующей сверхновой в нашей галактике (кандидат)?,Бетельгейзе,Полярная звезда,Ригель,Процион,betelgeuse.jpg
Сколько астрономических единиц (а.е.) примерно до Плутона?,39.5 а.е.,1 а.е.,150 а.е.,10 а.е.,pluto_distance.jpg
Как называется явление прохождения планеты по диску Солнца?,Транзит,Затмение,Оккультация,Парад планет,venus_transit.jpg
Как называется российский (бывший советский) многоразовый космический корабль?,Буран,Шаттл,Dream Chaser,Клипер,buran.jpg
Какой астероид, по мнению ученых, погубил динозавров?,Чикшулуб,Апофис,Эрос,Гаспра,chicxulub.jpg
Какая туманность находится в созвездии Ориона и видна невооруженным глазом?,Туманность Ориона (M42),Туманность Андромеды,Туманность Конус,Туманность Северная Америка,orion_nebula.jpg
Как называется точка орбиты, ближайшая к Солнцу?,Перигелий,Афелий,Перигей,Апогей,perihelion.jpg
Какой космонавт первым вышел в открытый космос?,Алексей Леонов,Эдвин Уайт,Юрий Гагарин,Владимир Комаров,leonov_spacewalk.jpg
Из чего в основном состоит хвост кометы?,Газ и пыль,Лед,Камни,Плазма,comet_tail.jpg
Как называется самая маленькая планета Солнечной системы?,Меркурий,Марс,Плутон,Венера,mercury_small.jpg
Что такое «созвездие»?,Группа звезд, образующих воображаемый узор,Любое скопление звезд,Часть галактики,Остаток сверхновой,constellation.jpg
Какая страна запустила первый спутник?,СССР,США,Китай,Германия,first_satellite.jpg
Как называется спутник Юпитера с вулканами?,Ио,Европа,Ганимед,Каллисто,io_volcano.jpg
Сколько времени нужно МКС, чтобы облететь Землю?,90 минут,24 часа,12 часов,45 минут,iss_orbit.jpg
